Elmo txt chart ver 2.0

[File Properties]
Creation Time,2026-04-14 05:32:28
Last Updated,2026-04-14 05:32:28
Resolution,0.001
Sampling Time,0.001
Recording Time,5.001
Trigger Location Index,0

[Chart Properties]
No.,Name,X Linear,Dimension,Min X Scale,Max X Scale,Min Y Scale,Max Y Scale
1,Chart #1,True,1D,1.07659902693723,1.37682449270203,-564358.680457612,8690444.52773893

[Chart Data]
Display No.,X No.,Y No.,Z No.,X Unit,Y Unit,Color,Style,Width,Hex Display,X Hex Display,Z Hex Display,Zero Scale
1,1,2,0,sec,N/A,ff0000ff,Solid,TwoPoint,Dec,Dec,Dec,False
1,1,3,0,sec,N/A,ff007f00,Solid,TwoPoint,Dec,Dec,Dec,False
1,1,4,0,sec,N/A,ffff0000,Solid,TwoPoint,Dec,Dec,Dec,False

[Signal Names]
1,Time (sec),False
2,a01.Position Command (0x607A) [cnt],False
3,a01.Actual Position (0x6064) [cnt],False
4,a01.Target position [cnt],False

[Signals Data Group 1]
1,2,3,4,
0.119,5647075,5418213,5647075.01833361,
0.12,5696009,5467885,5696008.51833361,
0.121,5744942,5517473,5744942.01833361,
0.122,5793876,5566873,5793875.51833361,
0.123,5842809,5615866,5842809.01833361,
0.124,5891743,5664235,5891742.51833361,
0.125,5940676,5712345,5940676.01833361,
0.126,5989610,5760199,5989609.51833361,
0.127,6038543,5808268,6038543.01833361,
0.128,6087477,5856210,6087476.51833361,
0.129,6136410,5904163,6136410.01833361,
0.13,6185344,5951607,6185343.51833361,
0.131,6234277,5998871,6234277.01833361,
0.132,6283211,6046283,6283210.51833361,
0.133,6332144,6094063,6332144.01833361,
0.134,6381078,6142272,6381077.51833361,
0.135,6430011,6190557,6430011.01833361,
0.136,6478945,6239179,6478944.51833361,
0.137,6527878,6287791,6527878.01833361,
0.138,6576812,6336802,6576811.51833361,
0.139,6625745,6385934,6625745.01833361,
0.14,6674679,6434943,6674678.51833361,
0.141,6723612,6483650,6723612.01833361,
0.142,6772546,6532236,6772545.51833361,
0.143,6821479,6581252,6821479.01833361,
0.144,6870411,6630578,6870410.77248403,
0.145,6919313,6680038,6919312.72680966,
0.146,6968136,6729965,6968136.48022907,
0.147,7016833,6780308,7016833.10274224,
0.148,7065354,6830624,7065353.66434919,
0.149,7113649,6880731,7113649.23504991,
0.15,7161671,6930950,7161670.88484439,
0.151,7209370,6981306,7209369.68373265,
0.152,7256697,7031578,7256696.70171467,
0.153,7303603,7081758,7303603.00879047,
0.154,7350040,7131986,7350039.67496003,
0.155,7395958,7181749,7395957.77022337,
0.156,7441308,7230802,7441308.36458048,
0.157,7486043,7279257,7486042.52803135,
0.158,7530111,7326795,7530111.330576,
0.159,7573466,7373388,7573465.84221442,
0.16,7616057,7419339,7616057.1329466,
0.161,7657836,7464317,7657836.27277256,
0.162,7698754,7508905,7698754.33169229,
0.163,7738762,7552577,7738762.37970578,
0.164,7777811,7595009,7777811.48681305,
0.165,7815853,7636951,7815852.72301409,
0.166,7852837,7677878,7852837.1583089,
0.167,7888716,7718502,7888715.86269748,
0.168,7923440,7758281,7923439.90617982,
0.169,7956960,7797491,7956960.35875594,
0.17,7989228,7835983,7989228.29042583,
0.171,8020195,7874141,8020194.77118949,
0.172,8049811,7911673,8049810.87104691,
0.173,8078028,7948109,8078027.65999811,
0.174,8104796,7983465,8104796.20804308,
0.175,8130068,8017611,8130067.58518182,
0.176,8153808,8050194,8153807.94653258,
0.177,8176049,8081305,8176048.62347005,
0.178,8196839,8110759,8196838.54571777,
0.179,8216227,8138903,8216226.64327574,
0.18,8234262,8165605,8234261.84614395,
0.181,8250993,8191340,8250993.08432242,
0.182,8266469,8215327,8266469.28781114,
0.183,8280739,8237265,8280739.38661011,
0.184,8293852,8256935,8293852.31071933,
0.185,8305857,8274518,8305856.9901388,
0.186,8316802,8289830,8316802.35486852,
0.187,8326737,8302844,8326737.33490848,
0.188,8335711,8313825,8335710.8602587,
0.189,8343772,8322881,8343771.86091917,
0.19,8350969,8330600,8350969.26688989,
0.191,8357352,8336908,8357352.00817086,
0.192,8362969,8341780,8362969.01476208,
0.193,8367869,8345257,8367869.21666355,
0.194,8372102,8347719,8372101.54387527,
0.195,8375715,8349728,8375714.92639724,
0.196,8378758,8351591,8378758.29422947,
0.197,8381281,8353245,8381280.57737194,
0.198,8383331,8354528,8383330.70582466,
0.199,8384958,8355410,8384957.60958763,
0.2,8386210,8355876,8386210.21866085,
0.201,8387137,8355940,8387137.46304432,
0.202,8387788,8355656,8387788.27273804,
0.203,8388212,8355134,8388211.57774202,
0.204,8388456,8354430,8388456.30805624,
0.205,8388571,8353504,8388571.39368071,
0.206,8388606,8352805,8388605.76461543,
0.207,8388608,8352525,8388608,
0.208,8388608,8352449,8388608,
0.209,8388608,8352550,8388608,
0.21,8388608,8352877,8388608,
0.211,8388608,8353571,8388608,
0.212,8388608,8354589,8388608,
0.213,8388608,8355933,8388608,
0.214,8388608,8357054,8388608,
0.215,8388608,8357909,8388608,
0.216,8388608,8358519,8388608,
0.217,8388608,8359118,8388608,
0.218,8388608,8359662,8388608,
0.219,8388608,8359969,8388608,
0.22,8388608,8360061,8388608,
0.221,8388608,8359844,8388608,
0.222,8388608,8359451,8388608,
0.223,8388608,8359336,8388608,
0.224,8388608,8359682,8388608,
0.225,8388608,8360145,8388608,
0.226,8388608,8360739,8388608,
0.227,8388608,8361339,8388608,
0.228,8388608,8362095,8388608,
0.229,8388608,8363140,8388608,
0.23,8388608,8364502,8388608,
0.231,8388608,8366058,8388608,
0.232,8388608,8367774,8388608,
0.233,8388608,8369431,8388608,
0.234,8388608,8371036,8388608,
0.235,8388608,8372654,8388608,
0.236,8388608,8373897,8388608,
0.237,8388608,8374873,8388608,
0.238,8388608,8375310,8388608,
0.239,8388608,8375314,8388608,
0.24,8388608,8375275,8388608,
0.241,8388608,8375220,8388608,
0.242,8388608,8375279,8388608,
0.243,8388608,8375292,8388608,
0.244,8388608,8375558,8388608,
0.245,8388608,8376303,8388608,
0.246,8388608,8377384,8388608,
0.247,8388608,8378747,8388608,
0.248,8388608,8380234,8388608,
0.249,8388608,8381670,8388608,
0.25,8388608,8382796,8388608,
0.251,8388608,8383695,8388608,
0.252,8388608,8384566,8388608,
0.253,8388608,8385119,8388608,
0.254,8388608,8385199,8388608,
0.255,8388608,8385043,8388608,
0.256,8388608,8384901,8388608,
0.257,8388608,8384721,8388608,
0.258,8388608,8384609,8388608,
0.259,8388608,8384749,8388608,
